,station_code,lat,lon,elevation,state,name,gsn_flag,hcn_flag,wmo_id,method,zip_code,city
93,USW00014922,44.8831,-93.2289,265.8,MN,MINNEAPOLIS/ST PAUL AP,GSN,HCN,72658.0,,55417.0,Minneapolis
94,USW00014925,43.9042,-92.4917,397.5,MN,ROCHESTER INTL AP,,,72644.0,,55902.0,Rochester
95,USW00014931,40.7833,-91.1253,210.9,IA,BURLINGTON MUNI AP,,,72542.0,,52601.0,Burlington
96,USW00014933,41.5339,-93.6531,291.7,IA,DES MOINES INTL AP,GSN,,72546.0,,50315.0,Des Moines
97,USW00014935,40.9611,-98.3136,560.8,NE,GRAND ISLAND AP,,,72552.0,,68801.0,Grand Island
98,USW00014939,40.8508,-96.7475,362.7,NE,LINCOLN MUNI AP,,,72551.0,,68521.0,Lincoln
99,USW00014942,41.3103,-95.8992,299.3,NE,OMAHA EPPLEY AIRFIELD,,,72550.0,,68110.0,Omaha
100,USW00014943,42.3914,-96.3792,333.8,IA,SIOUX CITY GATEWAY AP,,,72557.0,,51111.0,Sioux City
101,USW00014944,43.5878,-96.7289,435.9,SD,SIOUX FALLS,,,72651.0,,57104.0,Sioux Falls
102,USW00014991,44.8664,-91.4878,269.7,WI,EAU CLAIRE RGNL AP,,,,,54703.0,Eau Claire
103,USW00021504,19.7192,-155.0531,11.6,HI,HILO INTL AP,GSN,,91285.0,,96720.0,Hilo
104,USW00022001,29.3667,-100.7833,327.1,TX,DEL RIO LAUGHLIN AFB,,,,,78840.0,Del Rio
105,USW00022516,20.8997,-156.4286,15.5,HI,KAHULUI AP,,,91190.0,,96732.0,Kahului
106,USW00022521,21.3239,-157.9294,2.1,HI,HONOLULU INTL AP,,,91182.0,,96818.0,Honolulu
107,USW00022536,21.9839,-159.3405,30.5,HI,LIHUE WSO AP 1020.1,GSN,,91165.0,,96766.0,Lihue
108,USW00023009,33.3075,-104.5083,1112.2,NM,ROSWELL IND AIR PK,,HCN,72268.0,,88203.0,Roswell
109,USW00023023,31.9433,-102.1889,874.2,TX,MIDLAND ODESSA,,,72265.0,,79706.0,Midland
110,USW00023036,39.7167,-104.75,1726.1,CO,AURORA BUCKLEY FLD ANGB,,,,,80011.0,Aurora
111,USW00023044,31.8111,-106.3758,1194.2,TX,EL PASO INTL AP,GSN,HCN,72270.0,,79906.0,El Paso
112,USW00023047,35.2333,-101.7089,1093.3,TX,AMARILLO,,,72363.0,,79108.0,Amarillo
113,USW00023050,35.0419,-106.6156,1618.5,NM,ALBUQUERQUE INTL AP,GSN,,72365.0,,87106.0,Albuquerque
114,USW00023061,37.4389,-105.8614,2296.1,CO,ALAMOSA SAN LUIS AP,,,72462.0,,81101.0,Alamosa
115,USW00023065,39.3669,-101.7,1112.8,KS,GOODLAND,,,72465.0,,67735.0,Goodland
116,USW00023066,39.1342,-108.54,1480.7,CO,GRAND JUNCTION WALKER FLD,GSN,,72476.0,,81506.0,Grand Junction
117,USW00023081,35.5144,-108.7939,1972.4,NM,GALLUP MUNI AP,,,,,87301.0,Gallup
118,USW00023112,36.25,-115.0333,573.0,NV,LAS VEGAS NELLIS AFB,,,,,89115.0,Las Vegas
119,USW00023154,39.2953,-114.8467,1908.7,NV,ELY YELLAND FLD AP,GSN,,72486.0,,89301.0,Ely
120,USW00023160,32.1314,-110.9553,776.9,AZ,TUCSON INTL AP,,,72274.0,,85756.0,Tucson
121,USW00023174,33.9381,-118.3889,29.6,CA,LOS ANGELES INTL AP,,,72295.0,,90245.0,El Segundo
122,USW00023183,33.4278,-112.0039,337.4,AZ,PHOENIX SKY HARBOR INTL AP,GSN,,72278.0,,85034.0,Phoenix
123,USW00023185,39.4839,-119.7711,1344.2,NV,RENO TAHOE INTL AP,,HCN,72488.0,,89502.0,Reno
124,USW00023188,32.7336,-117.1831,4.6,CA,SAN DIEGO LINDBERGH FLD,GSN,,72290.0,,92101.0,San Diego
125,USW00023195,32.6667,-114.6,62.8,AZ,YUMA WSO AP,,,72280.0,,85365.0,Yuma
126,USW00023232,38.5069,-121.495,4.6,CA,SACRAMENTO EXECUTIVE AP,GSN,,72483.0,,95822.0,Sacramento
127,USW00023234,37.6197,-122.3647,2.4,CA,SAN FRANCISCO INTL AP,,,72494.0,,94128.0,San Francisco
128,USW00023237,37.8892,-121.2258,7.9,CA,STOCKTON METRO AP,,,72492.0,,95215.0,Stockton
129,USW00023273,34.8994,-120.4486,73.8,CA,SANTA MARIA PUBLIC AP,,,72394.0,,93455.0,Santa Maria
130,USW00024011,46.7708,-100.7603,505.4,ND,BISMARCK,GSN,,72764.0,,58504.0,Bismarck
131,USW00024013,48.2553,-101.2733,507.5,ND,MINOT INTL AP,,,,,58703.0,Minot
132,USW00024018,41.1519,-104.8061,1867.8,WY,CHEYENNE,,HCN,72564.0,,82001.0,Cheyenne
133,USW00024025,44.3814,-100.2856,531.0,SD,PIERRE RGNL AP,,HCN,72656.0,,57501.0,Pierre
134,USW00024029,44.7694,-106.9689,1202.4,WY,SHERIDAN CO AP,GSN,,72666.0,,82801.0,Sheridan
135,USW00024033,45.8069,-108.5422,1091.5,MT,BILLINGS LOGAN INTL AP,,,72677.0,,59102.0,Billings
136,USW00024089,42.8975,-106.4636,1627.0,WY,CASPER NATRONA CO AP,,,72569.0,,82604.0,Casper
137,USW00024090,44.0433,-103.0536,963.2,SD,RAPID CITY RGNL AP,,,72662.0,,57703.0,Rapid City
138,USW00024121,40.8289,-115.7886,1533.1,NV,ELKO RGNL AP,,HCN,,,89801.0,Elko
139,USW00024127,40.7781,-111.9694,1287.8,UT,SALT LAKE CITY INTL AP,,,72572.0,,84116.0,Salt Lake City
140,USW00024131,43.5667,-116.2406,857.7,ID,BOISE AIR TERMINAL,GSN,,72681.0,,83705.0,Boise
141,USW00024143,47.4733,-111.3822,1116.8,MT,GREAT FALLS INTL AP,,HCN,72775.0,,59404.0,Great Falls
142,USW00024149,46.3747,-117.0156,437.7,ID,LEWISTON NEZ PERCE CO AP,,HCN,72783.0,,83501.0,Lewiston
143,USW00024153,46.9208,-114.0925,972.9,MT,MISSOULA INTL AP,,,72773.0,,59808.0,Missoula
144,USW00024156,42.9203,-112.5711,1364.9,ID,POCATELLO RGNL AP,GSN,,72578.0,,83204.0,Pocatello
145,USW00024160,46.0947,-118.2869,355.4,WA,WALLA WALLA RGNL AP,,HCN,,,99362.0,Walla Walla
146,USW00024215,41.3325,-122.3328,1077.5,CA,MT SHASTA,,HCN,,,96067.0,Mount Shasta
147,USW00024217,48.7939,-122.5372,45.4,WA,BELLINGHAM INTL AP,,,,,98225.0,Bellingham
148,USW00024221,44.1278,-123.2206,107.6,OR,EUGENE MAHLON SWEET AP,,,72693.0,,97402.0,Eugene
149,USW00024227,46.9733,-122.9033,57.3,WA,OLYMPIA AP,GSN,,72792.0,,98501.0,Olympia
150,USW00024229,45.5908,-122.6003,5.8,OR,PORTLAND INTL AP,,,72698.0,,97218.0,Portland
